Dataset,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,avgAccu,avgTrainTime,avgTestTime
Adiac,0.836317136,0.833759591,0.84398977,0.831202046,0.836317136,0.846547315,0.831202046,0.831202046,0.83887468,0.826086957,0.835549872,13.80547868,1.321350941
ArrowHead,0.76,0.737142857,0.72,0.737142857,0.742857143,0.754285714,0.76,0.72,0.748571429,0.725714286,0.740571429,2.758625793,0.265356309
Beef,0.833333333,0.9,0.9,0.833333333,0.866666667,0.833333333,0.866666667,0.9,0.866666667,0.9,0.87,3.112164461,0.131900431
BeetleFly,0.9,0.9,0.95,0.95,0.9,0.9,0.9,0.95,0.95,0.9,0.92,2.642847809,0.081319699
BirdChicken,0.9,0.9,0.9,0.9,0.9,0.95,0.9,0.9,0.9,0.9,0.905,2.640617247,0.063877487
Car,0.9,0.85,0.866666667,0.883333333,0.9,0.866666667,0.85,0.883333333,0.866666667,0.883333333,0.875,4.13794966,0.253071572
CBF,0.994444444,0.988888889,0.993333333,0.991111111,0.991111111,0.992222222,0.995555556,0.99,0.993333333,0.986666667,0.991666667,2.337213796,0.74181007
ChlorineConcentration,0.777864583,0.774739583,0.77578125,0.776822917,0.785416667,0.773697917,0.77578125,0.77734375,0.784895833,0.779427083,0.778177083,14.0250568,14.38307094
CinCECGTorso,0.998550725,0.997826087,0.999275362,1,1,1,1,0.998550725,0.999275362,1,0.999347826,5.034639311,2.860857868
Coffee,1,1,1,1,1,1,1,1,1,1,1,2.547379524,0.073904362
Computers,0.74,0.724,0.74,0.728,0.724,0.724,0.736,0.732,0.732,0.74,0.732,10.00246959,1.102644096
CricketX,0.748717949,0.733333333,0.743589744,0.751282051,0.756410256,0.756410256,0.741025641,0.748717949,0.738461538,0.733333333,0.745128205,19.30832419,2.198559989
CricketY,0.774358974,0.771794872,0.756410256,0.779487179,0.761538462,0.771794872,0.779487179,0.774358974,0.769230769,0.782051282,0.772051282,15.10648476,2.32499856
CricketZ,0.771794872,0.78974359,0.779487179,0.769230769,0.771794872,0.771794872,0.782051282,0.761538462,0.764102564,0.761538462,0.772307692,15.12778548,2.317683527
DiatomSizeReduction,0.924836601,0.924836601,0.924836601,0.924836601,0.924836601,0.928104575,0.928104575,0.921568627,0.924836601,0.924836601,0.925163399,2.609870235,0.331777422
DistalPhalanxOutlineAgeGroup,0.726618705,0.73381295,0.73381295,0.73381295,0.71942446,0.71942446,0.726618705,0.73381295,0.73381295,0.741007194,0.730215827,7.349510578,0.461462085
DistalPhalanxOutlineCorrect,0.778985507,0.786231884,0.77173913,0.77173913,0.778985507,0.778985507,0.793478261,0.789855072,0.789855072,0.77173913,0.78115942,10.37346883,0.712922061
DistalPhalanxTW,0.661870504,0.690647482,0.690647482,0.683453237,0.676258993,0.676258993,0.676258993,0.705035971,0.676258993,0.669064748,0.68057554,8.306019418,0.480296441
Earthquakes,0.748201439,0.755395683,0.755395683,0.748201439,0.755395683,0.755395683,0.748201439,0.755395683,0.755395683,0.748201439,0.752517986,13.99432412,0.766286642
ECG200,0.9,0.91,0.88,0.9,0.9,0.89,0.9,0.89,0.9,0.9,0.897,3.209701273,0.223639707
ECG5000,0.943111111,0.944666667,0.943111111,0.943777778,0.945111111,0.944666667,0.944222222,0.943777778,0.943777778,0.943111111,0.943933333,11.91490908,7.635642346
ECGFiveDays,0.994192799,0.994192799,0.993031359,0.995354239,0.995354239,0.996515679,0.996515679,0.991869919,0.99883856,0.991869919,0.994773519,2.092444506,0.568840159
ElectricDevices,0.740759953,0.742964596,0.741538063,0.73907405,0.741538063,0.740759953,0.741149008,0.73881468,0.73907405,0.737128777,0.740280119,242.4536757,15.6117558
FaceAll,0.930769231,0.925443787,0.923668639,0.929585799,0.918343195,0.930769231,0.927810651,0.927218935,0.922485207,0.927810651,0.926390533,12.06565336,4.202925388
FaceFour,0.988636364,0.988636364,0.977272727,0.988636364,0.988636364,0.988636364,0.988636364,1,0.988636364,0.988636364,0.988636364,2.418102886,0.149433762
FacesUCR,0.893170732,0.897560976,0.892682927,0.893658537,0.897073171,0.895121951,0.891707317,0.90097561,0.894146341,0.894634146,0.895073171,6.367245581,4.269232385
FiftyWords,0.769230769,0.771428571,0.756043956,0.78021978,0.775824176,0.767032967,0.767032967,0.764835165,0.78021978,0.767032967,0.76989011,21.56625488,2.048321916
Fish,0.931428571,0.937142857,0.92,0.925714286,0.942857143,0.931428571,0.925714286,0.925714286,0.92,0.931428571,0.929142857,6.985383155,0.768904988
FordA,0.979545455,0.974242424,0.975757576,0.976515152,0.977272727,0.975,0.975,0.977272727,0.978030303,0.979545455,0.976818182,113.5720561,8.483385792
FordB,0.835802469,0.825925926,0.825925926,0.830864198,0.832098765,0.827160494,0.82962963,0.82345679,0.835802469,0.834567901,0.830123457,149.7690957,6.744687522
GunPoint,0.973333333,0.98,0.966666667,0.98,0.96,0.96,0.973333333,0.973333333,0.973333333,0.96,0.97,2.325657545,0.195476534
Ham,0.771428571,0.79047619,0.79047619,0.752380952,0.761904762,0.79047619,0.733333333,0.771428571,0.780952381,0.752380952,0.76952381,5.095979932,0.312390439
HandOutlines,0.916216216,0.916216216,0.916216216,0.913513514,0.916216216,0.913513514,0.916216216,0.913513514,0.916216216,0.918918919,0.915675676,114.250738,8.462046507
Haptics,0.535714286,0.522727273,0.512987013,0.50974026,0.50974026,0.516233766,0.506493506,0.519480519,0.519480519,0.503246753,0.515584416,9.630340582,2.377115341
Herring,0.625,0.609375,0.578125,0.609375,0.640625,0.59375,0.59375,0.609375,0.578125,0.609375,0.6046875,3.578707886,0.220170538
InlineSkate,0.669090909,0.667272727,0.658181818,0.649090909,0.665454545,0.669090909,0.658181818,0.685454545,0.663636364,0.689090909,0.667454545,9.269697826,4.536411845
InsectWingbeatSound,0.667171717,0.662626263,0.667676768,0.671212121,0.666161616,0.666666667,0.666666667,0.677272727,0.667676768,0.666666667,0.667979798,6.972699789,5.913128076
ItalyPowerDemand,0.973760933,0.973760933,0.973760933,0.973760933,0.972789116,0.971817298,0.972789116,0.972789116,0.972789116,0.972789116,0.973080661,1.384628348,0.412019901
LargeKitchenAppliances,0.808,0.802666667,0.794666667,0.8,0.810666667,0.816,0.808,0.802666667,0.816,0.805333333,0.8064,13.05651756,1.565502129
Lightning2,0.770491803,0.770491803,0.770491803,0.754098361,0.754098361,0.786885246,0.770491803,0.754098361,0.770491803,0.770491803,0.767213115,3.948407992,0.228221815
Lightning7,0.739726027,0.780821918,0.794520548,0.767123288,0.753424658,0.767123288,0.780821918,0.767123288,0.780821918,0.753424658,0.768493151,3.916052027,0.347617982
Mallat,0.965458422,0.965884861,0.965031983,0.966311301,0.965458422,0.965458422,0.966311301,0.965458422,0.965884861,0.965458422,0.965671642,4.891147058,5.611832453
Meat,0.95,0.95,0.966666667,0.95,0.95,0.95,0.95,0.95,0.933333333,0.95,0.95,3.265015805,0.116913054
MedicalImages,0.818421053,0.822368421,0.813157895,0.813157895,0.818421053,0.819736842,0.818421053,0.809210526,0.813157895,0.821052632,0.816710526,9.355239233,1.423691701
MiddlePhalanxOutlineAgeGroup,0.597402597,0.577922078,0.584415584,0.616883117,0.590909091,0.590909091,0.603896104,0.590909091,0.597402597,0.584415584,0.593506494,6.496981241,0.411768718
MiddlePhalanxOutlineCorrect,0.828178694,0.841924399,0.845360825,0.841924399,0.828178694,0.838487973,0.828178694,0.838487973,0.83161512,0.838487973,0.836082474,8.958461329,0.582581361
MiddlePhalanxTW,0.590909091,0.61038961,0.584415584,0.584415584,0.61038961,0.597402597,0.597402597,0.590909091,0.61038961,0.590909091,0.596753247,7.798623863,0.514293499
MoteStrain,0.943290735,0.948083067,0.940894569,0.945686901,0.944888179,0.945686901,0.944089457,0.940894569,0.947284345,0.947284345,0.944808307,1.553058412,0.645333869
NonInvasiveFetalECGThorax1,0.933842239,0.934860051,0.937913486,0.93740458,0.939440204,0.93740458,0.936895674,0.93740458,0.936386768,0.932824427,0.936437659,108.5981644,21.83127106
